Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cultivar]
P1	ERS2903440	SAMEA5092098	Hordeum vulgare subsp. vulgare	P0001 (020055-57)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P1	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGLJKBBXX_P1_S383_L002	group 1	sequencing assay	ERX2907039	HGLJKBBXX_P1_S383_L002_R1_001.fastq.gz	HGLJKBBXX_P1_S383_L002_R1_001.fastq.gz	ERR2902346	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902346/ERR2902346_1.fastq.gz	302	152	P0001 (020055-57)
P1	ERS2903440	SAMEA5092098	Hordeum vulgare subsp. vulgare	P0001 (020055-57)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P1	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGLJKBBXX_P1_S383_L002	group 1	sequencing assay	ERX2907039	HGLJKBBXX_P1_S383_L002_R2_001.fastq.gz	HGLJKBBXX_P1_S383_L002_R2_001.fastq.gz	ERR2902346	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902346/ERR2902346_2.fastq.gz	302	152	P0001 (020055-57)
P1	ERS2903440	SAMEA5092098	Hordeum vulgare subsp. vulgare	P0001 (020055-57)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P1	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HH2WCBBXX_P1_S536_L006	group 1	sequencing assay	ERX2907039	HH2WCBBXX_P1_S536_L006_R1_001.fastq.gz	HH2WCBBXX_P1_S536_L006_R1_001.fastq.gz	ERR2902347	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902347/ERR2902347_1.fastq.gz	302	152	P0001 (020055-57)
P1	ERS2903440	SAMEA5092098	Hordeum vulgare subsp. vulgare	P0001 (020055-57)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P1	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HH2WCBBXX_P1_S536_L006	group 1	sequencing assay	ERX2907039	HH2WCBBXX_P1_S536_L006_R2_001.fastq.gz	HH2WCBBXX_P1_S536_L006_R2_001.fastq.gz	ERR2902347	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902347/ERR2902347_2.fastq.gz	302	152	P0001 (020055-57)
P2	ERS2903441	SAMEA5092099	Hordeum vulgare subsp. vulgare	P0002 (02043-20)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P2	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGLJKBBXX_P2_S391_L002	group 2	sequencing assay	ERX2907040	HGLJKBBXX_P2_S391_L002_R1_001.fastq.gz	HGLJKBBXX_P2_S391_L002_R1_001.fastq.gz	ERR2902348	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902348/ERR2902348_1.fastq.gz	302	152	P0002 (02043-20)
P2	ERS2903441	SAMEA5092099	Hordeum vulgare subsp. vulgare	P0002 (02043-20)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P2	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGLJKBBXX_P2_S391_L002	group 2	sequencing assay	ERX2907040	HGLJKBBXX_P2_S391_L002_R2_001.fastq.gz	HGLJKBBXX_P2_S391_L002_R2_001.fastq.gz	ERR2902348	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902348/ERR2902348_2.fastq.gz	302	152	P0002 (02043-20)
P2	ERS2903441	SAMEA5092099	Hordeum vulgare subsp. vulgare	P0002 (02043-20)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P2	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HH2WCBBXX_P2_S544_L006	group 2	sequencing assay	ERX2907040	HH2WCBBXX_P2_S544_L006_R1_001.fastq.gz	HH2WCBBXX_P2_S544_L006_R1_001.fastq.gz	ERR2902349	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902349/ERR2902349_1.fastq.gz	302	152	P0002 (02043-20)
P2	ERS2903441	SAMEA5092099	Hordeum vulgare subsp. vulgare	P0002 (02043-20)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P2	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HH2WCBBXX_P2_S544_L006	group 2	sequencing assay	ERX2907040	HH2WCBBXX_P2_S544_L006_R2_001.fastq.gz	HH2WCBBXX_P2_S544_L006_R2_001.fastq.gz	ERR2902349	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902349/ERR2902349_2.fastq.gz	302	152	P0002 (02043-20)
P3	ERS2903442	SAMEA5092100	Hordeum vulgare subsp. vulgare	P0003 (02055-94)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P3	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P3_S161_L004	group 3	sequencing assay	ERX2907041	HGH2WBBXX_P3_S161_L004_R1_001.fastq.gz	HGH2WBBXX_P3_S161_L004_R1_001.fastq.gz	ERR2902350	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902350/ERR2902350_1.fastq.gz	302	152	P0003 (02055-94)
P3	ERS2903442	SAMEA5092100	Hordeum vulgare subsp. vulgare	P0003 (02055-94)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P3	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P3_S161_L004	group 3	sequencing assay	ERX2907041	HGH2WBBXX_P3_S161_L004_R2_001.fastq.gz	HGH2WBBXX_P3_S161_L004_R2_001.fastq.gz	ERR2902350	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902350/ERR2902350_2.fastq.gz	302	152	P0003 (02055-94)
